ca,bitquery_ratio,bitquery_top10_sum,bitquery_top1,bitquery_holders_count,top10_raw_pct_self,top10_owner_pct_self,top10_effective_pct_self,top10_raw_n_self,top10_owner_n_self,top10_effective_n_self,top10_excluded_n_self,top10_exclusion_summary_self,late_gmgn_old_top10,late_gmgn_new_top10,late_gmgn_old_action,late_gmgn_new_action,late_gmgn_reasons,source_group_top10_pct
2o2fxbNi,97.0,970000000.0,970000000.0,1,64.6192,64.6192,23.4483,20,20,19,1,,97.0,25.3,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
3QDE1FR2,90.3551,903550561.8559,903550561.8559,1,64.5216,64.5216,25.5182,20,20,18,2,,90.3551,25.5,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
3jUDeKvQ,98.8041,988040743.8244,988040743.8244,1,75.7939,75.7939,21.4339,20,20,19,1,,21.0,1.0,PASS,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
4eRGWj3i,95.2724,952723839.509,952723839.509,1,66.7455,66.7455,39.0704,20,20,19,1,,95.2724,39.1,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
4kgMxJ5c,84.8339,848339222.666,848339222.666,1,65.5395,65.5395,24.5983,20,20,19,1,,84.8339,24.3,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
5YtcoZPP,98.6054,986053614.9958,986053614.9958,1,63.0514,63.0514,21.9963,20,20,18,2,,98.6054,22.1,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
5gqCuu3Y,99.8955,998955026.59,998955026.59,1,59.0534,59.0534,30.9807,20,20,18,2,,99.8955,32.4,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
79vPo4uv,96.5801,965800796.8794,965800796.8794,1,71.9386,71.9386,24.672,20,20,16,4,,96.5801,26.9,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
7prgB341,90.3551,903550561.8559,903550561.8559,1,65.565,65.565,24.3371,20,20,19,1,,90.3551,23.6,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
8AmVXEAF,84.8339,848339222.666,848339222.666,1,66.0963,66.0963,23.7184,20,20,19,1,,84.8339,23.9,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
8TC2mFdB,96.5801,965800796.8459,965800796.8459,1,70.5107,70.5107,26.4626,20,20,19,1,,96.5801,27.2,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
8yyj9KEU,88.3489,883489361.7491,883489361.7491,1,70.2082,70.2082,22.2197,20,20,19,1,,88.3489,22.3,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
8zZEvgQ9,95.0744,950744223.2196,950744223.2196,1,66.5797,66.5797,25.3667,20,20,18,2,,95.0744,25.3,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
9XHtgoUr,99.6479,996479081.2532,996479081.2532,1,88.5557,88.5557,17.467,20,20,19,1,,99.6479,18.9,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
A9BrDmrh,96.5719,965718849.904,965718849.904,1,61.9552,61.9552,27.2667,20,20,18,2,,96.5719,28.2,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
AYbTfp6C,95.807,958069827.034,958069827.034,1,63.483,63.483,20.9673,20,20,18,2,,95.807,18.9,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
BmLRypou,95.2724,952723839.5417,952723839.5417,1,82.9787,82.9787,19.8471,20,20,19,1,,95.2724,20.4,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
CD1RbJ1W,84.8339,848339222.666,848339222.666,1,73.7691,73.7691,20.2156,20,20,18,2,,84.8339,23.9,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
DTqTCUbh,93.3714,933714285.7765,933714285.7765,1,62.9328,62.9328,25.6855,20,20,19,1,,93.3714,25.7,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
Dwufj9wf,88.3612,883612184.2496,883612184.2496,1,51.4482,51.4482,18.4423,20,20,19,1,,88.3612,16.4,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
Eb4syuuT,93.2938,932937500.0,932937500.0,1,61.0723,61.0723,25.354,20,20,18,2,,93.2938,24.7,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
Ecj8egNN,99.6479,996479081.2532,996479081.2532,1,66.5976,66.5976,25.446,20,20,19,1,,99.6479,23.6,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
FRqNsgnE,99.9659,999659188.4904,999659188.4904,1,63.7555,63.7555,26.8323,20,20,18,2,,99.9659,26.4,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
FsJK5bTs,93.3714,933714285.745,933714285.745,1,65.4574,65.4574,18.5917,20,20,19,1,,93.3714,18.6,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
H6Z2yh9g,90.0,900000000.0,900000000.0,1,77.7986,77.7986,23.0883,20,20,19,1,,90.0,23.3,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
HDXRv5nA,92.477,924769539.9273,924769539.9273,1,65.2138,65.2138,19.6389,20,20,18,2,,92.477,20.2,WATCH,PASS,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived",
Hkjs2YiU,87.5142,875141818.2363,875141818.2363,1,63.7631,63.7631,17.5485,20,20,18,2,,87.5142,28.4,WATCH,PASS,"gmgn_top10_arrived,safety_changed,tags_arrived",
