ca,bitquery_ratio,top10_raw_pct_self,top10_owner_pct_self,top10_effective_pct_self,late_gmgn_new_top10,bitquery_holders_count,top10_excluded_n_self,late_gmgn_reasons,suspect_reasons,gap_bitquery_vs_effective,gap_bitquery_vs_late_gmgn,gap_effective_vs_late_gmgn_abs
9XHtgoUr,99.6479,88.5557,88.5557,17.467,18.9,1,1,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",82.1809,80.7479,1.433
PcrpXbVp,100.0,49.6288,49.6288,21.3116,21.3,2,1,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",78.6884,78.7,0.0116
3jUDeKvQ,98.8041,75.7939,75.7939,21.4339,1.0,1,1,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20",77.3702,97.8041,20.4339
5YtcoZPP,98.6054,63.0514,63.0514,21.9963,22.1,1,2,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",76.6091,76.5054,0.1037
BmLRypou,95.2724,82.9787,82.9787,19.8471,20.4,1,1,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",75.4253,74.8724,0.5529
AYbTfp6C,95.807,63.483,63.483,20.9673,18.9,1,2,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",74.8397,76.907,2.0673
FsJK5bTs,93.3714,65.4574,65.4574,18.5917,18.6,1,1,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",74.7797,74.7714,0.0083
Ecj8egNN,99.6479,66.5976,66.5976,25.446,23.6,1,1,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",74.2019,76.0479,1.846
2o2fxbNi,97.0,64.6192,64.6192,23.4483,25.3,1,1,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",73.5517,71.7,1.8517
FRqNsgnE,99.9659,63.7555,63.7555,26.8323,26.4,1,2,"gmgn_top10_arrived,liquidity_arrived,safety_changed,tags_arrived","bitquery_ge_80,holders_count_eq_1,bitquery_minus_effective_ge_20,effective_close_to_late_gmgn",73.1336,73.5659,0.4323
