ca,snapshot_time,token_age_mins_at_snap,market_cap_at_snap,liquidity_at_snap,holder_distribution,smart_money_metrics,momentum_metrics,social_signal,peak_multiplier,created_at,time_stage,price_usd,smart_money_delta,maker_vol_ratio,overhang_ratio,breakout_vol_ratio,label
2tU8jUXqP3cXFx7PLvA7SQkpXpH7uPkbD211Rx45pump,2026-03-03 14:59:09.961649+00:00,9,11268.10,10200.00,"{""top10"": ""24.3%""}",,,"{""ix_data"": {}}",,2026-03-03 14:59:09.961649+00:00,T_0,0.0,0,0.0,0.0,0.0,0
H4hioLVHLuG4YLYrc7xzqNQe5JhsjKrv5rEFfbbRpump,2026-03-03 14:58:22.549803+00:00,3309,77782.00,24069.50,"{""top10"": ""17.9%""}",,,"{""ix_data"": {}}",,2026-03-03 14:58:22.549803+00:00,T_0,0.0,0,0.0,0.0,0.0,0
G2nxggjP3tXDp1teNXrhYmNdEsov9x4JhQ5fuHPwpump,2026-03-03 14:53:58.572029+00:00,2,8641.35,10600.00,"{""top10"": ""18.1%""}",,,"{""ix_data"": {}}",,2026-03-03 14:53:58.572029+00:00,T_0,0.0,0,0.0,0.0,0.0,0
4HhWcsfjaWYKJtjaxd4EyGSAL4Ky8C3DvqAWPHnrpump,2026-03-03 14:27:59.744887+00:00,726,137334.00,29141.95,"{""top10"": ""26.5%""}",,,"{""ix_data"": {}}",,2026-03-03 14:27:59.744887+00:00,T_0,0.0,0,0.0,0.0,0.0,0
9voQQTTdfbqfXwc9rZAdJEeXXjUWjHnB4wkShMT8pump,2026-02-27 18:15:12.301466+00:00,0,12392.94,16600.00,"{""top10"": ""32.7%""}",,,"{""ix_data"": {}}",,2026-02-27 18:15:12.301466+00:00,T_0,0.0,0,0.0,0.0,0.0,0
Ckbh84VcNbbQRAVL3RXZm4WePHgtPHPCcWUF1fU8pump,2026-02-27 18:12:23.402773+00:00,905,18181.99,13900.00,"{""top10"": ""23.4%""}",,,"{""ix_data"": {}}",,2026-02-27 18:12:23.402773+00:00,T_0,0.0,0,0.0,0.0,0.0,0
CjTPugyFN6HZMB5vqkZCmjG9wTWNpd2TdQU4pZsQmxNy,2026-02-27 18:11:55.087627+00:00,0,11679.97,13100.00,"{""top10"": ""26.1%""}",,,"{""ix_data"": {}}",,2026-02-27 18:11:55.087627+00:00,T_0,0.0,0,0.0,0.0,0.0,0
Gnqgz9GLZ2pqHyoXUBJkA2JyVdRQtMnjWGHiBvP2pump,2026-02-27 18:11:39.211739+00:00,0,8051.53,7990.00,"{""top10"": ""18.4%""}",,,"{""ix_data"": {}}",,2026-02-27 18:11:39.211739+00:00,T_0,0.0,0,0.0,0.0,0.0,0
9uTmU6ZcdCKSJoGxRK3CXhdTQfgyAmvZ9FcgVX5Ppump,2026-02-27 17:51:42.764806+00:00,0,8951.92,11500.00,"{""top10"": ""23.8%""}",,,"{""ix_data"": {}}",,2026-02-27 17:51:42.764806+00:00,T_0,0.0,0,0.0,0.0,0.0,0
2wP76beSJ8NB8bgFEkZkQCGtWErxqkxTYEGjx9jYpump,2026-02-27 17:48:43.432081+00:00,18660,431666.00,71307.21,"{""top10"": ""23.5%""}",,,"{""ix_data"": {}}",,2026-02-27 17:48:43.432081+00:00,T_0,0.0,0,0.0,0.0,0.0,0
6W6mNDsxUm7rQYz6vdzJ6qubBot6sPCp3jmTi2xUpump,2026-02-27 17:47:46.267851+00:00,130,13731.00,9368.49,"{""top10"": ""20.4%""}",,,"{""ix_data"": {}}",,2026-02-27 17:47:46.267851+00:00,T_0,0.0,0,0.0,0.0,0.0,0
Hq3aEYFe3d1KNCX968YB15gkhvksTQ1SisAcGocopump,2026-02-27 17:44:06.408486+00:00,2,7225.32,9660.00,"{""top10"": ""26.92%""}",,,"{""ix_data"": {}}",,2026-02-27 17:44:06.408486+00:00,T_0,0.0,0,0.0,0.0,0.0,0
EhJ9pSeCAV724CDyTh3fe4DyjK86enmPcnLDVkwzpump,2026-02-27 17:05:48.336483+00:00,38,2303.70,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-27 17:05:48.336483+00:00,T_0,0.0,0,0.0,0.0,0.0,0
CUFKXan24CBE2yaT1Gn6n3o8tVqUTwYqaKQZhiV9SEd9,2026-02-26 17:45:53.954979+00:00,25,12004.91,11500.00,"{""top10"": ""23.17%""}",,,"{""ix_data"": {}}",,2026-02-26 17:45:53.954979+00:00,T_0,0.0,0,0.0,0.0,0.0,0
8wUhAfVAJ6x7LDxzg5fDJ9RqraoFaDgNqbFKhmhuZGcp,2026-02-26 17:45:33.450856+00:00,36,24454.00,15200.00,"{""top10"": ""29.98%""}",,,"{""ix_data"": {}}",,2026-02-26 17:45:33.450856+00:00,T_0,0.0,0,0.0,0.0,0.0,0
6Cka4cPGBbuQtWuyp3KpTMAnyGjjR7YXVFTafmoNpump,2026-02-26 17:44:59.378321+00:00,716,259576.00,44076.49,"{""top10"": ""18.89%""}",,,"{""ix_data"": {}}",,2026-02-26 17:44:59.378321+00:00,T_0,0.0,0,0.0,0.0,0.0,0
EqEQaD6uPBh7VgVzajRRQS1gTTeBR8d7yHnc5e8qpump,2026-02-26 17:25:28.493728+00:00,12,94071.00,24114.90,"{""top10"": ""16.55%""}",,,"{""ix_data"": {}}",,2026-02-26 17:25:28.493728+00:00,T_0,0.0,0,0.0,0.0,0.0,0
4zZ36LqPCsaXxiDeuCLMEKUF779svSeQTdRn4UN2pump,2026-02-23 21:22:00.872405+00:00,13,13379.45,11300.00,"{""top10"": ""25.86%""}",,,"{""ix_data"": {}}",,2026-02-23 21:22:00.872405+00:00,T_0,0.0,0,0.0,0.0,0.0,0
DeMti8qM5WfiPQrWapjCXbBiDx5qxEWLzVdqwonnpump,2026-02-23 21:16:04.556265+00:00,13,15091.15,15800.00,"{""top10"": ""25.36%""}",,,"{""ix_data"": {}}",,2026-02-23 21:16:04.556265+00:00,T_0,0.0,0,0.0,0.0,0.0,0
FWd2sAkvHQJyh4k7BqdBm82duqRfYf2mt3Lyncyypump,2026-02-23 21:15:46.866023+00:00,0,22326.51,13600.00,"{""top10"": ""30.86%""}",,,"{""ix_data"": {}}",,2026-02-23 21:15:46.866023+00:00,T_0,0.0,0,0.0,0.0,0.0,0
5KrZBzjS68wdowwpP5vUkHbGtzaW3KQ98DSEguAJpump,2026-02-23 21:05:07.641258+00:00,1,8496.70,10100.00,"{""top10"": ""22.31%""}",,,"{""ix_data"": {}}",,2026-02-23 21:05:07.641258+00:00,T_0,0.0,0,0.0,0.0,0.0,0
3vs3BwCcymvy2NwTZCutxAravsswbkwY8CanYMeapump,2026-02-23 20:32:41.520850+00:00,0,7054.57,8510.00,"{""top10"": ""24.93%""}",,,"{""ix_data"": {}}",,2026-02-23 20:32:41.520850+00:00,T_0,0.0,0,0.0,0.0,0.0,0
64Qcv2LXnx1ZzyTErk53SZEvaxqQTNR1rchy8hB4pump,2026-02-23 20:23:19.950922+00:00,1,34891.00,13845.22,"{""top10"": ""23.34%""}",,,"{""ix_data"": {}}",,2026-02-23 20:23:19.950922+00:00,T_0,0.0,0,0.0,0.0,0.0,0
