experiment_id,ca,sample_type,start_time,end_time,elapsed_ms,success,source,depends_on_page,stage,gate_valid,blocked_reason,result_strength,url_hit,path_hit,display_hit,field_group,top10_value,liq_value,tag_count,error_type,notes
A2-001,So11111111111111111111111111111111111111112,avatar,2026-03-21 16:11:39,2026-03-21 16:11:40,532,True,dexscreener,False,avatar_url,,,,True,,,,,,,,https://cdn.dexscreener.com/cms/images/fcfb87378d3198fe753ca08ba51a5552a84f34cf48cd09d83971aa195bdf00d2?width=800&height=800&quality=95&format=auto
A2-002,5JAXbqTMJc2ZcdQL8kKxeBwpG9HN76MMAnTdExyRpump,avatar,2026-03-21 16:11:40,2026-03-21 16:11:40,202,False,dex,False,avatar_url,,,,False,,,,,,,,source_empty
A2-003,6vikMVXwa987yVenBn3P1iHsoTcjAp42SsSKUYcwpump,avatar,2026-03-21 16:11:40,2026-03-21 16:11:40,204,False,dex,False,avatar_url,,,,False,,,,,,,,source_empty
A2-004,6LbSLaDwTTke2nmMzP2NKuEWVP7QWPGvmNMjD7QApump,avatar,2026-03-21 16:11:40,2026-03-21 16:11:40,209,True,dexscreener,False,avatar_url,,,,True,,,,,,,,https://cdn.dexscreener.com/cms/images/vC4Si51DMHcgai0l?width=800&height=800&quality=95&format=auto
A2-005,9UWJoB4LqoqUzPANph1bmdGGRnM5mUdWLRSMheJspump,avatar,2026-03-21 16:11:40,2026-03-21 16:11:41,179,True,dexscreener,False,avatar_url,,,,True,,,,,,,,https://cdn.dexscreener.com/cms/images/lf57hV2DgnpsEly7?width=800&height=800&quality=95&format=auto
A2-006,GAdg5dJgNNmuBUh4N8PXM7YXKjTADmPuu3pZ2C8Zpump,avatar,2026-03-21 16:11:41,2026-03-21 16:11:41,219,True,dexscreener,False,avatar_url,,,,True,,,,,,,,https://cdn.dexscreener.com/cms/images/HDpvRU44eiaDKX2i?width=800&height=800&quality=95&format=auto
A2-007,9TAykmz2RK97apRV3rwyJNnPgJY3Fu98yZQXcUJSpump,avatar,2026-03-21 16:11:41,2026-03-21 16:11:41,183,False,dex,False,avatar_url,,,,False,,,,,,,,source_empty
A2-008,6naLvwxo84oFeK8sEYeuSDmyCMzpJLJvzADuXbQmpump,avatar,2026-03-21 16:11:41,2026-03-21 16:11:41,175,False,dex,False,avatar_url,,,,False,,,,,,,,source_empty
A2-009,9boMocazJCnA41HRFa5q1WPzHMU83sQswmVMsdT1pump,avatar,2026-03-21 16:11:41,2026-03-21 16:11:41,210,False,dex,False,avatar_url,,,,False,,,,,,,,source_empty
A2-010,F8yiuqyAeUHseuHUJLJTZGpcJo69QHZD8MKAn5oYpump,avatar,2026-03-21 16:11:41,2026-03-21 16:11:42,188,False,dex,False,avatar_url,,,,False,,,,,,,,source_empty
